pos,prc3,prc2,prc1,prc0,per,asp,vox,mod,form_gen,gen,form_num,num,stt,cas,enc0,rat
noun_prop,0,0,bi_prep,Al_det,na,na,na,na,m,f,s,p|s,d,g,0,i
noun_prop,0,0,bi_prep,Al_det,na,na,na,na,m,m,s,s,d,g|u,0,i|r
noun_prop,0,0,ka_prep|wa_prep,0,na,na,na,na,m,f,s,s,i,u,0,i
noun_prop,0,0,ka_prep,0,na,na,na,na,m,m,s,s,i,g,0,i
noun_prop,0,0,ka_prep,Al_det,na,na,na,na,f,f,s,s,d,u,0,i
noun_prop,0,0,ka_prep,Al_det,na,na,na,na,m,m,s,s,d,g,0,i
noun_prop,0,0,ka_prep|wa_prep,Al_det,na,na,na,na,m,m,s,s,d,u,0,r
noun_prop,0,0,la_emph,0,na,na,na,na,m,f|m,s,s,i,u,0,i
noun_prop,0,0,li_prep,0,na,na,na,na,f,f,s,s,c,g,0,i
noun_prop,0,0,li_prep,0,na,na,na,na,f,m,s,s,c,g,0,r
noun_prop,0,0,li_prep,0,na,na,na,na,m,f|m,s,s,i,u,0,i|r|u
noun_prop,0,0,li_prep,Al_det,na,na,na,na,m,f,s,p,d,g,0,i
noun_prop,0,0,li_prep,Al_det,na,na,na,na,m,f,s,s,d,g|u,0,i
noun_prop,0,0,li_prep,Al_det,na,na,na,na,m,m,s,s,d,g,0,i|r
noun_prop,0,0,li_prep,Al_det,na,na,na,na,m,m,s,s,d,u,0,i|r|u
noun_prop,0,fa_conj,0,0,na,na,na,na,m,f|m,s,s,c,n,0,i
noun_prop,0,fa_conj,0,0,na,na,na,na,m,f,s,s,i,u,0,i
noun_prop,0,fa_conj|wa_sub,0,0,na,na,na,na,m,m,s,s,i,u,0,i|r
noun_prop,0,fa_conj,0,Al_det,na,na,na,na,m,m,s,s,d,u,0,i
noun_prop,0,fa_conj,ka_prep|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,i
noun_prop,0,fa_conn,0,0,na,na,na,na,m,m,s,s,c,n,0,i
noun_prop,0,fa_conn,0,0,na,na,na,na,m,m,s,s,i,u,0,i
noun_prop,0,wa_conj,0,0,na,na,na,na,f,f,s,s,c,a|n,0,i
noun_prop,0,wa_conj,0,0,na,na,na,na,f,f,s,s,c,g,0|3fs_poss,i
noun_prop,0,wa_conj,0,0,na,na,na,na,f,f,s,s,i,u,0,i|r
noun_prop,0,wa_conj,0,0,na,na,na,na,f,m,s,s,i,u,0,r
noun_prop,0,wa_conj,0,0,na,na,na,na,m,f,s,p,i,u,0,r
noun_prop,0,wa_conj,0,0,na,na,na,na,m,f,s,s,c|i,a|g,0,i
noun_prop,0,wa_conj,0,0,na,na,na,na,m,f|m,s,s,i,u,0,i|r|u
noun_prop,0,wa_conj,0,0,na,na,na,na,m,m,s,s,c,a|n,0,i|r
noun_prop,0,wa_conj,0,0,na,na,na,na,m,m,s,s,c,g,0|3ms_poss,i
noun_prop,0,wa_conj,0,0,na,na,na,na,m,u,s,s,i,u,0,i
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,f,f,d,d,d,n,0,r
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,f,f,s,s,d,a|g|n|u,0,i
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,f,m,s,s,d,a|u,0,i
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,m,f,s,p|s,d,a|g|n,0,i
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,m,f,s,s,d,u,0,i|r
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,m,m,s,p,d,g,0,i
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,m,m,s,s,d,a|g|n,0,i|r
noun_prop,0,wa_conj,0,Al_det,na,na,na,na,m,m,s,s,d,u,0,i|r|u
noun_prop,0,wa_conj,bi_prep,0,na,na,na,na,m,m,s,s,i,u,0,i
noun_prop,0,wa_conj,li_prep,0,na,na,na,na,m,f,s,s,i,u,0,i
noun_prop,0,wa_conj,li_prep,0,na,na,na,na,m,m,s,s,c,g,0,i
noun_prop,0,wa_conj,li_prep,0,na,na,na,na,m,m,s,s,i,u,0,i|r
noun_prop,0,wa_conj,li_prep,Al_det,na,na,na,na,m,m,s,s,d,g,0,r
noun_quant,0,0,0,0,na,na,na,na,f,f,s,s,c,a,0|3mp_poss,n
noun_quant,0,0,0,0,na,na,na,na,f,f,s,s,c,g|n,0|3fs_poss|3mp_poss,n
noun_quant,0,0,0,0,na,na,na,na,f,f,s,s,i,a|g,0,n
noun_quant,0,0,0,0,na,na,na,na,m,f,d,d,c,a|g|n,0,n
noun_quant,0,0,0,0,na,na,na,na,m,f,d,s,i,g,0,n
noun_quant,0,0,0,0,na,na,na,na,m,f,s,s,c,a|n,0|1p_poss|3fs_poss|3mp_poss|3ms_poss,n
noun_quant,0,0,0,0,na,na,na,na,m,f,s,s,c,g,0|3d_poss|3fs_poss|3mp_poss|3ms_poss,n
noun_quant,0,0,0,0,na,na,na,na,m,f,s,s,c,u,1s_poss,n
noun_quant,0,0,0,0,na,na,na,na,m,f,s,s,i,a|g|n|u,0,n
noun_quant|pron_interrog,0,0,0,0,na,na,na,na,m,m,s,s,c|i,a|g|n,0,n
noun_quant,0,0,0,Al_det,na,na,na,na,f|m,f,s,s,d,a|g|n,0,n
noun_quant,0,0,bi_prep,0,na,na,na,na,f,f,s,s,c,g,0|3ms_poss,n
noun_quant,0,0,bi_prep,0,na,na,na,na,m,f,s,s,c,g,0|3fs_poss,n
noun_quant,0,0,bi_prep,0,na,na,na,na,m,f,s,s,i,g|u,0,n
noun_quant,0,0,ka_prep,0,na,na,na,na,m,f,s,s,c|i,g,0,n
noun_quant,0,0,ka_prep,0,na,na,na,na,m,m,s,s,c,g,0,n
noun_quant,0,0,li_prep,0,na,na,na,na,f,f,s,s,c,g,0,n
noun_quant,0,0,li_prep,0,na,na,na,na,m,f|m,s,s,c|i,g,0,n
noun_quant,0,0,li_prep,Al_det,na,na,na,na,f|m,f,s,s,d,g,0,n
noun_quant,0,fa_conj,0,0,na,na,na,na,f,f,s,s,c,n,3mp_poss,n
noun_quant,0,fa_conj,0,0,na,na,na,na,m,f,s,s,c,a,0,n
noun_quant,0,fa_conj,0,0,na,na,na,na,m,f,s,s,c,n,0|3mp_poss,n
noun_quant,0,fa_conj|fa_conn|fa_sub,0,Al_det,na,na,na,na,m,f,s,s,d,n,0,n
noun_quant,0,wa_conj,0,0,na,na,na,na,f|m,f,s,s,c,g,0,n
noun_quant,0,wa_conj,0,0,na,na,na,na,f,f,s,s,c,n,0|3fs_poss|3mp_poss,n
noun_quant,0,wa_conj,0,0,na,na,na,na,m,f,s,s,c,a,0|3fs_poss|3mp_poss,n
noun_quant,0,wa_conj,0,0,na,na,na,na,m,f,s,s,c,n,0|1p_poss|2mp_poss|3fp_poss|3fs_poss|3mp_poss,n
noun_quant,0,wa_conj,0,0,na,na,na,na,m,m,s,s,c,a|n,0,n
noun_quant,0,wa_conj,0,Al_det,na,na,na,na,m,f,s,s,d,a|g|n,0,n
noun_quant,0,wa_conj,bi_prep,0,na,na,na,na,m,f,s,s,c,g,0,n
noun_quant,0,wa_conj,li_prep,0,na,na,na,na,m,f,s,s,c|i,g,0,n
noun_quant,0,wa_conj,li_prep,0,na,na,na,na,m,m,s,s,c,g,0,n
noun_quant,0,wa_sub,0,0,na,na,na,na,m,f,s,s,c,n,3mp_poss,n
part,0,0,0,na,na,na,na,na,na,na,na,na,na,na,0|1p_pron|3d_pron|3fs_pron|3mp_pron|3ms_pron,na
part,0,0,wa_prep,na,na,na,na,na,na,na,na,na,na,na,3ms_pron,na
part,0,fa_conj|fa_conn|wa_sub,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part,0,wa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0|2mp_pron,na
part_fut,0,0|fa_rc|wa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part_interrog,0,0,0,na,na,na,na,na,na,na,na,na,na,na,0|lA_neg,na
part_interrog,0,fa_conj|wa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part_neg,0,0|wa_conj,0|bi_prep|la_rc,na,na,na,na,na,na,na,na,na,na,na,0,na
part_neg,0,fa_conj|fa_conn|fa_rc|fa_sub|wa_sub,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part_neg,>a_ques,0,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part_restrict,0,0|fa_conn|wa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part_verb,0,0|fa_conj|wa_conj,0|la_emph,na,na,na,na,na,na,na,na,na,na,na,0,na
part_verb,0,fa_conn|fa_rc|wa_sub,0,na,na,na,na,na,na,na,na,na,na,na,0,na
part_voc,0,0|fa_conj|wa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0,na
prep,0,0,0,na,na,na,na,na,na,na,na,na,na,na,0|1p_pron|1s_pron|2fp_pron|2fs_pron|2mp_pron|2ms_pron|3d_pron|3fp_pron|3fs_pron|3mp_pron|3ms_pron|mA_rel|mA_sub|man_rel,na
prep,0,0,wa_prep,na,na,na,na,na,na,na,na,na,na,na,0,na
prep,0,fa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0|3fs_pron|3mp_pron|ma_rel,na
prep,0,fa_conn,0,na,na,na,na,na,na,na,na,na,na,na,0|3ms_pron,na
prep,0,fa_rc,0,na,na,na,na,na,na,na,na,na,na,na,0|3mp_pron|3ms_pron,na
prep,0,wa_conj,0,na,na,na,na,na,na,na,na,na,na,na,0|1p_pron|1s_pron|2ms_pron|3d_pron|3fs_pron|3mp_pron|3ms_pron|mA_rel|mA_sub|man_rel,na
prep,0,wa_sub,0,na,na,na,na,na,na,na,na,na,na,na,0,na
pron,0,0|wa_conj|wa_sub,0,0,1|2|3,na,na,na,m,m,p,p,i,n,0,y
pron,0,0|wa_sub,0,0,1|2|3,na,na,na,m,m,s,s,i,n,0,y
pron,0,0|wa_conj,0,0,3,na,na,na,f,f,p,p,i,n,0,y
pron,0,0|fa_conj|fa_conn|fa_sub|wa_conj|wa_sub,0,0,3,na,na,na,f,f,s,s,i,n,0,y
pron,0,0|fa_conj|wa_conj,0,0,3,na,na,na,m,m,d,d,i,n,0,y
pron,0,fa_conj,0,0,1|3,na,na,na,m,m,p,p,i,n,0,y
pron,0,fa_conj|fa_conn|fa_rc|wa_conj,0,0,1|3,na,na,na,m,m,s,s,i,n,0,y
pron,0,fa_conn,0,0,3,na,na,na,m,m,p,p,i,n,0,y
pron,0,fa_rc,0,0,1,na,na,na,m,m,p,p,i,n,0,y
pron_dem,0,0|wa_conj,0,0,na,na,na,na,f,f,d,d,i,a|n,0,y
pron_dem,0,0,0,0,na,na,na,na,f,f,s,s,i,a|u,0,y
pron_dem,0,0,0,0,na,na,na,na,m,m,d,d,i,a,0,y
pron_dem,0,0,0|bi_prep|li_prep,0,na,na,na,na,m,m,p,p,i,u,0,y
pron_dem,0,0|wa_conj,0|bi_prep|ka_prep|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_dem,0,0,bi_prep,0,na,na,na,na,f,f,d,d,i,a,0,y
pron_dem,0,0,bi_prep|ka_prep|li_prep,0,na,na,na,na,f,f,s,s,i,u,0,y
pron_dem,0,fa_conj|wa_sub,0,0,na,na,na,na,f,f,s,s,i,u,0,y
pron_dem,0,fa_conj|wa_conj,0,0,na,na,na,na,m,m,d,d,i,n,0,y
pron_dem,0,fa_conj|wa_conj,0,0,na,na,na,na,m,m,p,p,i,u,0,y
pron_dem,0,fa_conj|fa_conn|fa_rc|wa_sub,0,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_dem,0,wa_conj,0|bi_prep|li_prep,0,na,na,na,na,f,f,s,s,i,u,0,y
pron_interrog,0,0,0,0,na,na,na,na,f,f,s,s,c,g|n,0,n
pron_interrog,0,0,0|bi_prep|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_interrog,0,0|wa_conj,bi_prep,0,na,na,na,na,f,f,s,s,c,g,0,n
pron_interrog,0,0,li_prep,0,na,na,na,na,m,m,s,s,c|i,g,0,n
pron_interrog,0,fa_conj|fa_rc,0,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_interrog,0,wa_conj,0,0,na,na,na,na,m,m,s,s,c,a|g|n,0,n
pron_interrog,0,wa_conj,0|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_rel,0,0,0,0,na,na,na,na,f,f,d,d,i,a|n,0,y
pron_rel,0,0,0,0,na,na,na,na,f,f,p,p,i,u,0,y
pron_rel,0,0,0,0,na,na,na,na,f,f,s,s,c,g,0,y
pron_rel,0,0,0|ka_prep|li_prep,0,na,na,na,na,f,f,s,s,i,u,0,y
pron_rel,0,0,0,0,na,na,na,na,m,m,d,d,i,n,0,y
pron_rel,0,0|wa_conj,0,0,na,na,na,na,m,m,p,p,i,u,0,y
pron_rel,0,0,0,0,na,na,na,na,m,m,s,s,c,a|g,0,y
pron_rel,0,0,0,0,na,na,na,na,m,m,s,s,i,a|u,0,y
pron_rel,0,0,bi_prep,0,na,na,na,na,f,f,s,s,i,g,0,y
pron_rel,0,0,bi_prep|ka_prep|li_prep,0,na,na,na,na,m,m,p,p,i,g,0,y
pron_rel,0,0,bi_prep|ka_prep|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_rel,0,fa_conj|fa_conn|wa_sub,0,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_rel,0,wa_conj,0,0,na,na,na,na,f,f,d,d,i,a,0,y
pron_rel,0,wa_conj,0,0,na,na,na,na,f,f,s,s,i,u,0,y
pron_rel,0,wa_conj,0|bi_prep|ka_prep|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,y
pron_rel,0,wa_conj,bi_prep,0,na,na,na,na,m,m,s,s,c,g,0,y
verb,0,0,0,0,1,i,a,i,m,m,p,p,na,na,0|2mp_dobj|2ms_dobj|3d_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,1,i,a,i,m,m,s,s,na,na,0|1s_dobj|2fs_dobj|2mp_dobj|2ms_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,1,i,a,j,m,m,p,p,na,na,0|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,1,i,a,j,m,m,s,s,na,na,0|1p_dobj|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,1,i,a,s,m,m,p,p,na,na,0|2mp_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,1,i,a,s,m,m,s,s,na,na,0|2mp_dobj|2ms_dobj|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,1,i,p,i|s,m,m,p,p,na,na,0,n
verb,0,0,0,0,1,i,p,i|s,m,m,s,s,na,na,0,n
verb,0,0|wa_conj,0,0,1,p,a,i,m,m,p,p,na,na,0|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,1,p,a,i,m,m,s,s,na,na,0|2mp_dobj|2ms_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,1|3,p,p,i,m,m,p,p,na,na,0,n
