feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
PRC0	mA_part	PRC_DET	mA	part	-	-	-	-	-	-	-	-	-	-	-
PRC0	mA_rel	PRC_DET	mA	pron_rel	-	-	-	-	-	-	-	-	-	-	-
PER	1	BASE	-	-	1	-	-	-	-	-	-	-	-	-	-
PER	2	BASE	-	-	2	-	-	-	-	-	-	-	-	-	-
PER	3	BASE	-	-	3	-	-	-	-	-	-	-	-	-	-
PER	na	BASE	-	-	na	-	-	-	-	-	-	-	-	-	-
ASP	c	BASE	-	-	-	c	-	-	-	-	-	-	-	-	-
ASP	i	BASE	-	-	-	i	-	-	-	-	-	-	-	-	-
ASP	na	BASE	-	-	-	na	-	-	-	-	-	-	-	-	-
ASP	p	BASE	-	-	-	p	-	-	-	-	-	-	-	-	-
VOX	a	BASE	-	-	-	-	-	-	-	a	-	-	-	-	-
VOX	na	BASE	-	-	-	-	-	-	-	na	-	-	-	-	-
VOX	p	BASE	-	-	-	-	-	-	-	p	-	-	-	-	-
VOX	u	BASE	-	-	-	-	-	-	-	*	-	-	-	-	-
MOD	i	BASE	-	-	-	-	-	-	i	-	-	-	-	-	-
MOD	j	BASE	-	-	-	-	-	-	j	-	-	-	-	-	-
MOD	na	BASE	-	-	-	-	-	-	na	-	-	-	-	-	-
MOD	s	BASE	-	-	-	-	-	-	s	-	-	-	-	-	-
MOD	u	BASE	-	-	-	-	-	-	*	-	-	-	-	-	-
FORMGEN	f	BASE	-	-	-	-	-	-	-	-	f	-	-	-	-
FORMGEN	m	BASE	-	-	-	-	-	-	-	-	m	-	-	-	-
FORMGEN	na	BASE	-	-	-	-	-	-	-	-	na	-	-	-	-
GEN	m	BASE	-	-	-	-	-	-	-	-	-	m	-	-	-
GEN	f	BASE	-	-	-	-	-	-	-	-	-	f	-	-	-
GEN	u	BASE	-	-	-	-	-	-	-	-	-	*	-	-	-
GEN	na	BASE	-	-	-	-	-	-	-	-	-	na	-	-	-
FORMNUM	d	BASE	-	-	-	-	-	-	-	-	-	-	d	-	-
FORMNUM	p	BASE	-	-	-	-	-	-	-	-	-	-	p	-	-
