feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
STEM	PRON_1S	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_2D	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_2FP	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_2FS	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_2MP	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_2MS	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_3D	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_3FP	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_3FS	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_3MP	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PRON_3MS	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
STEM	PSEUDO_VERB	BASE	-	verb_pseudo	-	-	-	-	-	-	-	-	-	-	-
STEM	PUNC	BASE	-	punc	-	-	-	-	-	-	-	-	-	-	-
STEM	PV	BASE	-	verb	-	p	-	-	-	a	-	-	-	-	-
STEM	PV_PASS	BASE	-	verb	-	p	-	-	-	p	-	-	-	-	-
STEM	IV	BASE	-	verb	-	i	-	-	-	a	-	-	-	-	-
STEM	IV_PASS	BASE	-	verb	-	i	-	-	-	p	-	-	-	-	-
STEM	CV	BASE	-	verb	-	c	-	-	-	-	-	-	-	-	-
STEM	RC_PART	BASE	-	part_rc	-	-	-	-	-	-	-	-	-	-	-
STEM	REL_ADV	BASE	-	adv_rel	-	-	-	-	-	-	-	-	-	-	-
STEM	REL_PRON	BASE	-	pron_rel	-	-	-	-	-	-	-	-	-	-	-
STEM	RESTRIC_PART	BASE	-	part_restrict	-	-	-	-	-	-	-	-	-	-	-
STEM	SUB_CONJ	BASE	-	conj_sub	-	-	-	-	-	-	-	-	-	-	-
